BR_CerM,BR_CerMID,BR_Chan,BR_Inst,BR_InstCh,FP_elect,FP_electCNT,FP_ref,FP_shank,FP_shfh_p,FP_shfh_r,FP_shfh_t,FP_shfh_x,FP_shfh_y,FP_shfh_z,FP_shs_r,FP_shs_s,HP_elect,HP_ref,OM_ch,OM_con,OM_pin,OM_ref
5,2,561,5,49,26,922,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,561,-99,17,18,28,-99
5,2,557,5,45,27,923,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,557,-99,13,18,26,-99
5,2,568,5,56,28,924,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,568,-99,24,18,13,-99
4,3,488,4,72,29,925,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,488,-99,8,16,5,-99
5,3,543,5,95,30,926,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,543,-99,31,17,35,-99
5,3,539,5,91,31,927,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,539,-99,27,17,33,-99
5,3,535,5,87,32,928,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,535,-99,23,17,31,-99
5,2,548,5,36,33,929,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,548,-99,4,18,3,-99
5,2,552,5,40,34,930,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,552,-99,8,18,5,-99
4,2,480,4,64,35,931,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,480,-99,0,15,17,-99
4,2,476,4,60,36,932,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,476,-99,28,15,15,-99
4,2,472,4,56,37,933,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,472,-99,24,15,13,-99
4,2,470,4,54,38,934,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,470,-99,22,15,12,-99
4,2,474,4,58,39,935,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,474,-99,26,15,14,-99
4,2,478,4,62,40,936,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,478,-99,30,15,16,-99
5,2,554,5,42,41,937,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,554,-99,10,18,6,-99
5,2,550,5,38,42,938,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,550,-99,6,18,4,-99
5,2,546,5,34,43,939,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,546,-99,2,18,2,-99
5,2,556,5,44,44,940,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,556,-99,12,18,7,-99
5,2,560,5,48,45,941,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,560,-99,16,18,9,-99
5,2,564,5,52,46,942,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,564,-99,20,18,11,-99
4,2,469,4,53,47,943,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,469,-99,21,15,30,-99
4,2,465,4,49,48,944,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,465,-99,17,15,28,-99
4,2,461,4,45,49,945,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,461,-99,13,15,26,-99
4,2,459,4,43,50,946,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,459,-99,11,15,25,-99
4,2,463,4,47,51,947,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,463,-99,15,15,27,-99
4,2,467,4,51,52,948,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,467,-99,19,15,29,-99
5,2,566,5,54,53,949,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,566,-99,22,18,12,-99
